x-axis,1,2
second,Volt,Volt
-152.0000E-06,,
-151.4000E-06,+9.2864319384E+00,+0.0E+00
-150.8000E-06,+9.4493517970E+00,+118.4871699E-03
-150.2000E-06,+9.5234062781E+00,+0.0E+00
-149.6000E-06,+9.3604864196E+00,-133.2980661E-03
-149.0000E-06,+9.5678389668E+00,+0.0E+00
-148.4000E-06,+9.5678389668E+00,+0.0E+00
-147.8000E-06,+9.2864319384E+00,+133.2980661E-03
-147.2000E-06,+9.5530280706E+00,+0.0E+00
-146.6000E-06,+9.4641626932E+00,+0.0E+00
-146.0000E-06,+9.2864319384E+00,+0.0E+00
-145.4000E-06,+9.5678389668E+00,-222.1634435E-03
-144.8000E-06,+9.5678389668E+00,+177.7307548E-03
-144.2000E-06,+9.3012428346E+00,+0.0E+00
-143.6000E-06,+9.2864319384E+00,+0.0E+00
-143.0000E-06,+9.2864319384E+00,+251.7852360E-03
-142.4000E-06,+9.5678389668E+00,-88.8653774E-03
-141.8000E-06,+9.2864319384E+00,-207.3525473E-03
-141.2000E-06,+9.3308646271E+00,+236.9743397E-03
-140.6000E-06,+9.4493517970E+00,+118.4871699E-03
-140.0000E-06,+9.0050249100E+00,+0.0E+00
-139.4000E-06,+9.2864319384E+00,-162.9198586E-03
-138.8000E-06,+9.2864319384E+00,+236.9743397E-03
-138.2000E-06,+9.5678389668E+00,+0.0E+00
-137.6000E-06,+9.4789735895E+00,+0.0E+00
-137.0000E-06,+9.5382171744E+00,+0.0E+00
-136.4000E-06,+9.5678389668E+00,-148.1089623E-03
-135.8000E-06,+9.2864319384E+00,+14.8108962E-03
-135.2000E-06,+9.4641626932E+00,+0.0E+00
-134.6000E-06,+9.2864319384E+00,+0.0E+00
-134.0000E-06,+9.3456755233E+00,+0.0E+00
-133.4000E-06,+9.5678389668E+00,+103.6762736E-03
-132.8000E-06,+9.5678389668E+00,+0.0E+00
-132.2000E-06,+9.4345409007E+00,+133.2980661E-03
-131.6000E-06,+9.3160537309E+00,+251.7852360E-03
-131.0000E-06,+9.3752973158E+00,+0.0E+00
-130.4000E-06,+9.5678389668E+00,+0.0E+00
-129.8000E-06,+9.3308646271E+00,+0.0E+00
-129.2000E-06,+9.5678389668E+00,+162.9198586E-03
-128.6000E-06,+9.5678389668E+00,+0.0E+00
-128.0000E-06,+9.2864319384E+00,-162.9198586E-03
-127.4000E-06,+9.3308646271E+00,+0.0E+00
-126.8000E-06,+9.5678389668E+00,+0.0E+00
-126.2000E-06,+9.5678389668E+00,+0.0E+00
-125.6000E-06,+9.5678389668E+00,+0.0E+00
-125.0000E-06,+9.5678389668E+00,+133.2980661E-03
-124.4000E-06,+9.3012428346E+00,+266.5961322E-03
-123.8000E-06,+9.5678389668E+00,+0.0E+00
-123.2000E-06,+9.5678389668E+00,+0.0E+00
-122.6000E-06,+9.2864319384E+00,+222.1634435E-03
-122.0000E-06,+9.3901082120E+00,+0.0E+00
-121.4000E-06,+9.5678389668E+00,+0.0E+00
-120.8000E-06,+9.5678389668E+00,+0.0E+00
-120.2000E-06,+9.5678389668E+00,+0.0E+00
-119.6000E-06,+9.2864319384E+00,+0.0E+00
-119.0000E-06,+9.4937844857E+00,+74.0544812E-03
-118.4000E-06,+9.3308646271E+00,+236.9743397E-03
-117.8000E-06,+9.4493517970E+00,+0.0E+00
-117.2000E-06,+9.2864319384E+00,-281.4070284E-03
-116.6000E-06,+9.4493517970E+00,-118.4871699E-03
-116.0000E-06,+9.3308646271E+00,+0.0E+00
-115.4000E-06,+9.2864319384E+00,+0.0E+00
-114.8000E-06,+9.5678389668E+00,+88.8653774E-03
-114.2000E-06,+9.5382171744E+00,+0.0E+00
-113.6000E-06,+9.2864319384E+00,+0.0E+00
-113.0000E-06,+9.2864319384E+00,+0.0E+00
-112.4000E-06,+9.2864319384E+00,+0.0E+00
-111.8000E-06,+9.2864319384E+00,+0.0E+00
-111.2000E-06,+9.2864319384E+00,+0.0E+00
-110.6000E-06,+9.3604864196E+00,+0.0E+00
-110.0000E-06,+9.2864319384E+00,+0.0E+00
-109.4000E-06,+9.5678389668E+00,+0.0E+00
-108.8000E-06,+9.2864319384E+00,+0.0E+00
-108.2000E-06,+9.2864319384E+00,+0.0E+00
-107.6000E-06,+9.2864319384E+00,+0.0E+00
-107.0000E-06,+9.2864319384E+00,+0.0E+00
-106.4000E-06,+9.5678389668E+00,+0.0E+00
-105.8000E-06,+9.2864319384E+00,+0.0E+00
-105.2000E-06,+9.6122716555E+00,+0.0E+00
-104.6000E-06,+9.2864319384E+00,+0.0E+00
-104.0000E-06,+9.5678389668E+00,+0.0E+00
-103.4000E-06,+9.1975665610E+00,+0.0E+00
-102.8000E-06,+9.2864319384E+00,-251.7852360E-03
-102.2000E-06,+9.2864319384E+00,-148.1089623E-03
-101.6000E-06,+9.3012428346E+00,+0.0E+00
-101.0000E-06,+9.4641626932E+00,+0.0E+00
-100.4000E-06,+9.2864319384E+00,+0.0E+00
-99.8000E-06,+9.5085953819E+00,+0.0E+00
-99.2000E-06,+9.2864319384E+00,+0.0E+00
-98.6000E-06,+9.2716210422E+00,+0.0E+00
-98.0000E-06,+9.4345409007E+00,+0.0E+00
-97.4000E-06,+9.2864319384E+00,+0.0E+00
-96.8000E-06,+9.5678389668E+00,+0.0E+00
-96.2000E-06,+9.5678389668E+00,+0.0E+00
-95.6000E-06,+9.2864319384E+00,+44.4326887E-03
-95.0000E-06,+9.2419992497E+00,-162.9198586E-03
-94.4000E-06,+9.2864319384E+00,+0.0E+00
